,text,sen
0,"🧱 INCREASED LIQUIDITY 📢 40 $BTC traded so far at 58000 💰
          🎵 https://t.co/iMB1mj8Cs1 🗣️ #Bitcoin #crypto #BTC",3
1,"Congratulations to you brown deliah 
Earn over $5,000 weekly from Bitcoin/Forex Market 
Send a DM to get started
•… https://t.co/wejE2Roh0I",3
2,"1,375 #Bitcoin mined since last tweet.
 
 New Supply: 18,675,043 
 
 It represents $80,147,567 (At $58,289 per $BTC… https://t.co/8HuKaqfOwB",3
3,#Bitcoin is moving as we expected but it will move slowly since some of the capital is flowing towards the altcoins… https://t.co/EWCcB7nLHb,3
4,"⬇️ Seller alert: 10 $BTC sold into the bid @ 57974
  https://t.co/iMB1mj8Cs1 👈 #Bitcoin #crypto #BTC",3
5,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,82% ($-475,84) in 72 min 39 sec
Current Price: $58 000,01
Daily Ch… https://t.co/wlZm3a101I",3
6,"The $BTC price is at $58009.00 right now.
🔴 Compared to the last tweet, the price has dropped by $437.14 (-0.75%).… https://t.co/KF2wBwatf4",3
7,"The same people who thought Bitcoin at $100 was expensive, now think it is fairly valued at $30,000.
•
•

#crypto… https://t.co/dYHKlStUVl",3
8,"Ripple and the SEC struck a deal!?
👇(short update)
https://t.co/m4v3MH4Bor

#XRPCommunity #XRP #Crypto… https://t.co/APySIeqjPC",3
9,"Strong buy on all Cryptos Today!!!!
Join the success Now!  https://t.co/1Ol8D6cyBV

#crypto #bitcoin… https://t.co/Tr8SRdqWyH",3
10,"Bitcoin BTC Current Price:
$58,340.86
1 Hour: -0.93% | 24 Hours: -0.72% | 7 Days: -1.65%
#btc #bitcoin",3
11,[NEW] Why Uganda chose Stellar Lumens to power the currency of its new city + https://t.co/VrUyeEGnji #bitcoin #btc… https://t.co/PywnCtqZJc,3
12,"https://t.co/Q3JzRdoiaq is for sale!

+ premium domain name +

TO PURCHASE:  https://t.co/Mg3imAUIpL

#domains… https://t.co/XghXYkuvPc",3
13,"#BTC $BTC

#Bitcoin cant lose this 4 hour support https://t.co/VGNN9kKf6i",3
14,EVERYONE WILL BE SHOCKED WHEN THEY SEE BITCOIN BREAKOUT T… #Bitcoin #BTC https://t.co/fvRuGIM4be,3
15,🤝 Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with… https://t.co/HQPojhPLTR,3
16,"$IMTL love that accumulation jump... 

$ltnc $hqge $phil $enzc $amc $nsav $cydy $nwbo $biel $hcmc $avxl $ipix $bbrw… https://t.co/PX7oOvj38y",3
17,"WORK FROM HOME 💰📈
Invest in Bitcoin and Forex trading and earn massively from the financial market
•
•

#crypto… https://t.co/P3mH4iI4Vo",3
18,"Why are the #btc maxis running for the exits at $59k? 🤔 

#bitcoin shitcoin 

$link 🚀🚀🚀🚀🚀",1
19,Whale and Rally dominate social token scene with $240M market cap https://t.co/cHauKuY4ND #btc #bitcoinnews #bitcoin,3
20,@iota Over 153%+ Profits from #Ethereum  signal within 2 hour's. you can check the time of signal entry post when i… https://t.co/fO0v2ehhmF,3
21,@BinanceChain @HyperJumpBSC Over 153%+ Profits from #Ethereum  signal within 2 hour's. you can check the time of si… https://t.co/KnkotI8eo1,3
22,Sorry all my posts have been shitty this morning. I'm just trying to keep you from losing any gains. #crypto… https://t.co/p5NZfh8CL6,3
23,We believe that businesses built on #Bitcoin should also mine to support the network’s security. #BlockstreamMining… https://t.co/ooNm28lRfQ,3
24,🤝 Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with… https://t.co/pXTK0oFTjt,3
25,"Ripple SEC Settlement? XRP Insiders Buying?
👇 (short and sweet update)
https://t.co/iJ9LMRS6LQ

#XRP #CRYPTO… https://t.co/UI64wXodu1",3
26,Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind l… https://t.co/RoxAUMaeYv,3
27,"$EEENF volume is stupid, if $IMTL had it we would over 05 

$ltnc $hqge $phil $enzc $amc $nsav $cydy $nwbo $biel… https://t.co/pPE398D8TR",3
28,"The current price of bitcoin is $58,443.00. It has increased by 0.637% in the last 24 hours #bitcoin #btc #cryptocurrency",3
29,"$HNT update: Floatin’, doin’ it all, banging into the top trend line then it gon’ fall (maybe)

#TooShort #IFYKY… https://t.co/DtrpisS7Hl",3
30,Anyone else notice that almost all the bitcoin proponents are younger and the critics are mostly older?  Indicates… https://t.co/IxNu6yaCES,3
31,1 BTC Price: Bitstamp 58154.58 USD Coinbase  USD #btc #bitcoin 2021-04-06 10:01 https://t.co/eeyb2FpYTz,3
32,@PeterSchiff @SpencerKSchiff @goldseek If the answer is you do not expect #Bitcoin users to pay 100% of new Nuclear… https://t.co/S8OZd7Mfea,3
33,"⬆️⬆️ $BTC BUYING PRESSURE ALERT 📈 Price trading around 58250
          🎵 https://t.co/iMB1mj8Cs1 🗣️ #Bitcoin #crypto #BTC",3
34,"Bitcoin ignores Lindsay Lohan's 'To the moon' tweet as #BTC price dips 7.6%

#Bitcoin (BTC) lost almost 8% on Feb.… https://t.co/1RiLdCri91",3
35,"New Post: Venture capitalists invest over $16B in blockchain equity since 2012
Link: https://t.co/Eq1AEjRmhn… https://t.co/bgG7QtSKmv",3
36,"New Post: Buy more Bitcoin, analyst tells institutions as $257M in BTC leaves Gemini
Link: https://t.co/itntkO7Ll3… https://t.co/EWDlSmUbFk",3
37,"Marathon Digital stock soars after company ramps up BTC mining in Q1

,https://t.co/Tu2jAwUQfe,

 #bitcoin #btc… https://t.co/TpwFlO9xta",3
38,"Bitcoin - BTC
Price: $58,622.67
Change in 1h: -0.13929533%
Market cap: $1,094,780,798,559.26
Ranking: 1
#Bitcoin #BTC",3
39,Install CryptoTab browser and get real Bitcoins for using it. Your earnings will keep growing as long as you're wat… https://t.co/hBFQn4I7FH,3
40,This project really shows positive possibilities. I like this project because this project will definitely reach th… https://t.co/uo4PIeqkyo,3
41,"Bitcoin is expected to soon surpass the market cap of silver.  

Track your #Bitcoin, wisly.… https://t.co/P3hSyMSbKd",3
42,"Market Id : BTC-AUD
Last Price :76555.09
24 Hour High :77295.53
24 Hour Low :75881
Best Bid :76350
Best Ask : 76555.11
#btc #bitcoin",3
43,"Bitcoin: $58,417.23
 +0.55% (+$317.23)
High: $59,478.09
Low: $58,100
Volume: 308

$BTC #BTC #bitcoin",3
44,"Profit from our premium channel ✅

#BinanceFutures
#BNB/USDT Take-Profit target 1 ✅
Profit: 63.6132% 📈
Period: 28 M… https://t.co/0IHFw7gs7C",3
45,"$IMTL sellers this morn made a HUGE mistake 

$ltnc $hqge $phil $enzc $amc $nsav $cydy $nwbo $biel $hcmc $avxl… https://t.co/qgxsCbpN4w",3
46,"Profit from our premium channel ✅

#BinanceFutures
#LTC/USDT All targets achieved 😎
Profit: 37.6238% 📈
Period: 21 D… https://t.co/SoNTCiKFOs",3
47,"PROFIT! Just bagged 6.07% on a $HNT trade!
Join us to get profits like these on a daily basis!

#HNT #DOGE #crypto… https://t.co/qqBxebRgAo",3
48,"PROFIT! Just bagged 2.12% on a $ADA trade!
Join us to get profits like these on a daily basis!

#ADA #DOGE #crypto… https://t.co/VNcSRv7vVn",3
49,"Buy more Bitcoin, analyst tells institutions as $257M in BTC leaves Gemini
https://t.co/Emmf6UYqWL

#Bitcoin #BTC… https://t.co/dPaKt4fIvf",3
50,"$IMTL lets go 02+ today. We deserve it 

$ltnc $hqge $phil $enzc $amc $nsav $cydy $nwbo $biel $hcmc $avxl $ipix… https://t.co/pjglRYQ8ZW",3
51,"@PeterSchiff Money that is currently in altcoins will flow into BTC eventually, like it always does. People are jus… https://t.co/qnO88A23IM",3
52,"#XAUUSD #gold Analysis

Check out my Bio to get Telegram link of Free Forex or Crypto Channel. 

Cheers! 🍻

#EURGBP… https://t.co/4aTMh3p9SF",3
53,"$REEF CHART IS WORKING LIKE A DAMN MACHINE. 
IT JUST TOUCHED THE SUPPORT AND IS ABOUT TO SHOOT.

IF YOU HELD IT FOR… https://t.co/HRlba2TaId",3
54,"The $BTC price is at $58446.14 right now.
🔴 Compared to the last tweet, the price has dropped by $20.41 (-0.03%).
🟢… https://t.co/T7SRZ5S5R9",3
55,"14.27% $2546.24 PROFIT BEFORE FEES ON VIDEO BOOM AM PUMP
Find out how you can Access my Private Discord:… https://t.co/e3LkfZdKqM",3
56,"🤑 You'll receive 2x the rewards when you refer someone to the #SwissBorg app from 6/4 to 13/4, o🔥 Up to 200€ in… https://t.co/Lzg7d6WUbi",3
57,"A new #Bitcoin price zone has just been detected 

🔸 xxxx xxxx 🔸

To unlock all #BTC zone detections join our teleg… https://t.co/bxuTSdyXSh",3
58,"Buy more Bitcoin, analyst tells institutions as $257M in BTC leaves Gemini

Read here : https://t.co/jXk0KSB7Fg… https://t.co/TkES3XvTra",3
59,MicroStrategy’s Michael Saylor: Bitcoin Is Hope – See The Gold Vs. Bitcoin Debate https://t.co/fL36KvaxWd #bitcoin #btc #bitcoin #crypto,3
