Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
1,30,1,64,4,3,3,512,0.1,32,67.91958348147647
2,30,1,64,4,3,3,512,0.1,64,75.69058084439956
3,30,1,64,4,3,3,512,0.2,32,8463.856607203534
4,30,1,64,4,3,3,512,0.2,64,202.401300907238
5,30,1,64,4,3,3,1024,0.1,32,149.68843581266887
6,30,1,64,4,3,3,1024,0.1,64,176.02233612633208
7,30,1,64,4,3,3,1024,0.2,32,152.99800121017034
8,30,1,64,4,3,3,1024,0.2,64,108.0779243795699
9,30,1,64,4,3,4,512,0.1,32,71.24107330811322
10,30,1,64,4,3,4,512,0.1,64,198.99477037899217
11,30,1,64,4,3,4,512,0.2,32,189.35481829155424
