Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE,model_name
1,30,1,128,4,2,2,512,0.1,32,137.8002836589756,Model10-1
2,30,1,128,4,2,2,512,0.1,64,128.92422360466858,Model10-2
3,30,1,128,4,2,2,512,0.2,32,176.0319874441252,Model10-3
4,30,1,128,4,2,2,512,0.2,64,69.98786402852541,Model10-4
5,30,1,128,4,2,2,1024,0.1,32,77.44162423557825,Model10-5
6,30,1,128,4,2,2,1024,0.1,64,141.20511376418207,Model10-6
7,30,1,128,4,2,2,1024,0.2,32,65.01783669300009,Model10-7
8,30,1,128,4,2,2,1024,0.2,64,90.34852640293786,Model10-8
9,30,1,128,4,2,4,512,0.1,32,120.55694746827403,Model10-9
10,30,1,128,4,2,4,512,0.1,64,60.96175802299521,Model10-10
11,30,1,128,4,2,4,512,0.2,32,271.47854689169657,Model10-11
12,30,1,128,4,2,4,512,0.2,64,94.34579286019702,Model10-12
13,30,1,128,4,2,4,1024,0.1,32,120.60127431125056,Model10-13
14,30,1,128,4,2,4,1024,0.1,64,150.28414315130692,Model10-14
15,30,1,128,4,2,4,1024,0.2,32,138.06100641231566,Model10-15
16,30,1,128,4,2,4,1024,0.2,64,140.9691174673209,Model10-16
17,30,1,128,4,4,2,512,0.1,32,110.70367219430311,Model10-17
18,30,1,128,4,4,2,512,0.1,64,116.29668848197626,Model10-18
19,30,1,128,4,4,2,512,0.2,32,148.92898551571213,Model10-19
20,30,1,128,4,4,2,512,0.2,64,119.8910544235617,Model10-20
21,30,1,128,4,4,2,1024,0.1,32,77.95360446647787,Model10-21
22,30,1,128,4,4,2,1024,0.1,64,166.9295067930987,Model10-22
23,30,1,128,4,4,2,1024,0.2,32,142.50427733074534,Model10-23
24,30,1,128,4,4,2,1024,0.2,64,147.08345002396953,Model10-24
25,30,1,128,4,4,4,512,0.1,32,171.60711956810792,Model10-25
26,30,1,128,4,4,4,512,0.1,64,131.25571770501796,Model10-26
27,30,1,128,4,4,4,512,0.2,32,139.48580743139652,Model10-27
28,30,1,128,4,4,4,512,0.2,64,104.94611780789353,Model10-28
29,30,1,128,4,4,4,1024,0.1,32,83.52836284634193,Model10-29
30,30,1,128,4,4,4,1024,0.1,64,122.23988649694002,Model10-30
31,30,1,128,4,4,4,1024,0.2,32,84.51196396741932,Model10-31
32,30,1,128,4,4,4,1024,0.2,64,73.72173088111465,Model10-32
33,30,1,128,8,2,2,512,0.1,32,75.57734744792505,Model10-33
34,30,1,128,8,2,2,512,0.1,64,133.0028222592434,Model10-34
35,30,1,128,8,2,2,512,0.2,32,87.10406816509355,Model10-35
36,30,1,128,8,2,2,512,0.2,64,118.02420113431698,Model10-36
37,30,1,128,8,2,2,1024,0.1,32,133.3797672675727,Model10-37
38,30,1,128,8,2,2,1024,0.1,64,96.47165596618845,Model10-38
39,30,1,128,8,2,2,1024,0.2,32,167.08237403445818,Model10-39
40,30,1,128,8,2,2,1024,0.2,64,91.17827353609776,Model10-40
41,30,1,128,8,2,4,512,0.1,32,155.68891935839443,Model10-41
42,30,1,128,8,2,4,512,0.1,64,129.72006242336627,Model10-42
43,30,1,128,8,2,4,512,0.2,32,141.68573278275412,Model10-43
44,30,1,128,8,2,4,512,0.2,64,111.79838786587096,Model10-44
45,30,1,128,8,2,4,1024,0.1,32,106.85207594873957,Model10-45
46,30,1,128,8,2,4,1024,0.1,64,145.35308605746877,Model10-46
47,30,1,128,8,2,4,1024,0.2,32,113.08796041530668,Model10-47
48,30,1,128,8,2,4,1024,0.2,64,160.349457009276,Model10-48
49,30,1,128,8,4,2,512,0.1,32,152.52692248243252,Model10-49
50,30,1,128,8,4,2,512,0.1,64,115.87549970952257,Model10-50
51,30,1,128,8,4,2,512,0.2,32,108.53776171875758,Model10-51
52,30,1,128,8,4,2,512,0.2,64,133.01912811553188,Model10-52
53,30,1,128,8,4,2,1024,0.1,32,67.50562734162922,Model10-53
54,30,1,128,8,4,2,1024,0.1,64,145.53378617332723,Model10-54
