in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
14,5,16,3,4,0.21905002243798874,6,False,32,0.0014479940124379285,0.05664977431297302,8.423563092947006,8.265769481658936
16,19,27,3,2,0.12316184789077556,10,True,32,0.0021254073739488157,0.1002814918756485,15.815243124961853,15.242321789264679
16,27,28,2,2,0.061327862539098894,10,True,32,0.0037352371692151256,0.10225383192300797,17.234604060649872,16.290000081062317
26,6,28,3,8,0.024714099509023525,10,False,32,0.003465685715699487,0.06882698088884354,10.058372467756271,10.068406164646149
24,4,30,3,6,0.05510557914004531,6,True,128,0.002413250756084598,0.04986197501420975,7.156907021999359,7.270648330450058
31,8,29,2,5,0.07542324867041879,9,True,32,0.0020831500158094225,0.09759228676557541,16.252680122852325,15.190558135509491
18,31,20,2,4,0.2582839398183799,8,False,64,0.003269805386618601,0.0590757317841053,9.449641406536102,9.27470251917839
23,6,32,3,5,0.12396018367144349,9,True,32,0.003122424733869675,0.05833696946501732,9.174889326095581,8.973032236099243
30,30,28,1,8,0.072612568468048,8,False,128,0.004522817759985852,0.05779747664928436,9.338513016700745,9.10966768860817
9,28,29,3,6,0.2977385840136288,6,False,256,0.0039896258215310655,0.04822709038853645,6.782963871955872,7.052032649517059
3,22,9,1,7,0.1993342148587899,7,False,256,0.004904473489342384,0.04841048642992973,6.771194934844971,7.017239928245544
3,22,8,1,7,0.29249493101900237,7,False,256,0.004915798034313402,0.051427651196718216,7.631740719079971,7.660599797964096
3,24,8,1,7,0.19840441041326387,7,False,256,0.004221707335388282,0.05207093060016632,7.709779590368271,7.625488191843033
8,12,14,1,6,0.18979178497882712,7,False,256,0.004145539174415447,0.04880787059664726,6.833997368812561,7.0820048451423645
9,16,23,1,7,0.28503422812877804,6,False,256,0.004968457412865094,0.04799620807170868,6.6498808562755585,6.94652646780014
10,14,23,3,6,0.295366485721435,6,False,256,0.0038582403951112404,0.04787860065698624,6.747450679540634,7.053450495004654
10,14,22,1,4,0.2509135100049507,6,False,64,0.004521458985994305,0.06048371270298958,9.905005991458893,9.595097601413727
12,17,23,1,8,0.2570436455827748,6,False,256,0.002765306250071658,0.04800558462738991,6.71294629573822,7.040327787399292
6,10,24,3,5,0.17019956867079175,7,False,256,0.0036266580695005312,0.04840117320418358,6.746105849742889,6.99278712272644
21,1,18,2,7,0.23270040978683085,8,False,256,0.004462913397581514,0.05211833864450455,7.832106947898865,7.830400764942169
7,17,25,3,3,0.2844853128496478,6,False,128,0.0010640612664386123,0.04794488102197647,6.949212402105331,7.21883624792099
6,16,25,3,3,0.281176343940749,6,False,128,0.0011830884811655062,0.04826292023062706,7.076345384120941,7.437213510274887
11,19,21,3,3,0.2799818465648432,6,False,128,0.0027740842178059946,0.04894900321960449,7.020360976457596,7.431875914335251
6,14,25,3,6,0.23106038319567623,7,False,128,0.0014855921079013764,0.05141095072031021,7.396039366722107,7.423775643110275
1,11,18,3,3,0.26890575751790824,6,False,64,0.0038697684756648547,0.05960673838853836,9.536342322826385,9.060657769441605
13,18,26,1,5,0.23915327881356724,7,False,128,0.0016849584388140882,0.04853733628988266,6.767775863409042,6.978811323642731
8,15,23,3,6,0.296739600148526,6,True,256,0.0010665652435986443,0.04827490821480751,6.753185391426086,7.005784660577774
14,20,18,3,7,0.14135843728768513,9,False,256,0.0028366911212600963,0.048794232308864594,6.83944970369339,7.036948949098587
18,13,13,2,4,0.2173109112130486,7,False,128,0.004988590242879128,0.04864197596907616,6.761304289102554,6.961914151906967
5,9,20,1,5,0.2742888506913085,6,False,64,0.0018796190777576115,0.050958309322595596,7.521577924489975,7.451885938644409
10,22,32,3,2,0.17290189087603364,6,False,256,0.0024586578540278514,0.04880306497216225,6.836699694395065,7.047612220048904
12,17,22,1,8,0.26020419273532547,6,False,256,0.003371779154532646,0.04931841790676117,7.028026878833771,7.163964211940765
14,16,24,1,8,0.25076238384163607,6,False,256,0.0024232394991357915,0.04834996908903122,6.761083751916885,7.060842961072922
8,18,26,1,7,0.21422643409250658,6,False,256,0.002813302018463021,0.04806499555706978,6.909459084272385,7.294192910194397
12,25,23,1,8,0.2781206520873466,6,True,256,0.004646003195073895,0.04790372774004936,6.682676821947098,6.965374201536179
10,25,20,3,7,0.2798809459735894,7,True,128,0.004652778674182959,0.0478864423930645,6.6872090101242065,6.958561390638351
16,25,16,3,2,0.2998260758140784,7,True,128,0.004704953762462096,0.048186685889959335,6.782934814691544,7.142823934555054
16,27,19,3,8,0.0077264165449782984,7,True,128,0.004156702254352936,0.04873509705066681,6.920427083969116,7.26730152964592
11,25,21,3,6,0.27078873663086406,8,True,32,0.003654504587698896,0.05071277171373367,7.378470152616501,7.435055822134018
7,29,27,3,8,0.24150432265574093,7,True,128,0.004291343118565037,0.04784629866480827,6.67339488863945,6.952190399169922
4,30,26,2,8,0.10725889601002489,8,True,128,0.004316080946476659,0.05536261573433876,8.576804399490356,8.358223736286163
7,26,27,3,8,0.24616463342187767,7,True,128,0.004690086701060433,0.04843905568122864,6.934385001659393,7.338721305131912
1,29,30,3,7,0.2696617306153001,6,True,128,0.003958534827012638,0.04817628115415573,6.812369078397751,7.140319794416428
10,23,30,3,8,0.2288049550775785,9,True,128,0.004751989972790442,0.04816415533423424,6.736861914396286,6.9663941860198975
14,31,28,3,6,0.2871908946180999,8,True,32,0.004405107042506722,0.05861620232462883,8.766377717256546,8.724071085453033
7,28,24,3,7,0.2646760009897757,10,True,128,0.0038287657985103447,0.05155833438038826,7.512585073709488,7.6350294053554535
18,21,21,3,8,0.28378768412209676,7,True,128,0.0046396343184044505,0.04799327254295349,6.704885512590408,6.998229771852493
