learning_rate,warmup_steps,weight_decay,Accuracy
3.921387088641515e-05,500,0.09787805117488446,0.6533333333333333
1.6633882116491436e-05,250,0.04054433689908542,0.65
1.7416918663325394e-05,250,0.19770595395430002,0.5966666666666667
4.410322477292864e-05,0,0.19568055197058176,0.6466666666666666
1.2677913748169784e-05,250,0.13173182512061204,0.6233333333333333
2.9822142248512035e-05,250,0.24957810641801392,0.6533333333333333
4.969933251001693e-05,250,0.29892125012533594,0.6133333333333333
2.527006363938027e-05,0,0.21271631095714225,0.64
4.746889750419135e-05,250,0.15453441933757597,0.64
3.316465840104651e-05,250,0.010950073082626377,0.6733333333333333
3.386176519681623e-05,500,0.007145393871827176,0.64
3.8665419697241286e-05,500,0.0843535399451895,0.64
3.919803140189264e-05,500,0.07681173649706913,0.6366666666666667
2.5555084498273926e-05,500,0.00156650366153889,0.6566666666666666
2.5884799595554355e-05,500,0.003516862655548969,0.63
2.4217080701679865e-05,0,0.05322667168747141,0.6266666666666667
3.177045907479776e-05,500,0.035230231147528296,0.65
1.8395867854434793e-05,250,0.11760122415322885,0.6133333333333333
2.3020767377399004e-05,500,0.0029443339011092744,0.6466666666666666
3.5224088476852804e-05,0,0.044556762696046186,0.6533333333333333
