learning_rate,warmup_steps,weight_decay,Accuracy
1.3826191025083971e-05,500,0.14378330327091315,0.6166666666666667
3.749185429487945e-05,250,0.22544583129133458,0.6366666666666667
2.2764343976019774e-05,250,0.15405685537892858,0.6233333333333333
3.2581758663936054e-05,250,0.009213703587587562,0.6433333333333333
1.9008216402016134e-05,500,0.2596212108345563,0.62
1.3927437086925402e-05,0,0.14080122365991377,0.66
2.4162430944901902e-05,0,0.056856233985472834,0.6
1.4419939000139666e-05,250,0.12136286927017884,0.6133333333333333
2.483037344325673e-05,250,0.27645782258598117,0.62
2.681421993257096e-05,500,0.05319759631989524,0.6433333333333333
4.184465811510664e-05,0,0.20417521266543398,0.6233333333333333
3.382135167526082e-05,0,0.018409566015177917,0.61
4.4608181131044575e-05,0,0.1006875823954948,0.6266666666666667
4.952534811881059e-05,250,0.0029897248772086937,0.63
3.0483893746529282e-05,0,0.18184188659718037,0.63
1.0028885169652167e-05,250,0.07336398241576027,0.6133333333333333
3.238401202173405e-05,0,0.0916362923706033,0.6033333333333334
3.682562129096077e-05,0,0.04582170777185983,0.6133333333333333
1.741301064027355e-05,250,0.24201706661959116,0.64
2.848725236491872e-05,500,0.17258129983220094,0.61
