learning_rate,warmup_steps,weight_decay,Accuracy
4.3572776280827904e-05,500,0.15865773150757417,0.61
2.736337097690695e-05,0,0.08347781266014026,0.59
4.6457131229283055e-05,0,0.06661569385643269,0.6266666666666667
2.0844990832571568e-05,0,0.2637516636045388,0.5966666666666667
2.6703554516455545e-05,250,0.12593897105666682,0.5766666666666667
1.0749660757492419e-05,0,0.029072396233402728,0.5766666666666667
4.141415041229546e-05,250,0.19429077516145607,0.5766666666666667
2.0464969274482737e-05,0,0.06819894734845282,0.5966666666666667
2.4645901392796774e-05,0,0.2706877023707579,0.5866666666666667
1.3520802770167016e-05,0,0.20717222649390443,0.59
4.969702583168831e-05,500,0.015673750358610877,0.6033333333333334
3.853355016337592e-05,500,0.14463803402584385,0.5766666666666667
4.966637669518725e-05,500,0.101529257541129,0.62
4.97875491052418e-05,500,0.08941572940931422,0.5866666666666667
3.9418912127944255e-05,500,0.04559255972854433,0.61
3.347947671738949e-05,250,0.11160709881155095,0.5833333333333334
4.5485115445176966e-05,500,0.0025138106577402286,0.5833333333333334
3.4668279150589906e-05,0,0.05141560983984393,0.61
4.649804893584221e-05,500,0.1666870935072874,0.5666666666666667
3.5878662200757205e-05,250,0.10639989848952308,0.58
