learning_rate,warmup_steps,weight_decay,Accuracy
2.812754619146916e-05,250,0.17381093672502937,0.5833333333333334
4.278183876341168e-05,500,0.038068668250309044,0.66
2.4541830730311267e-05,250,0.024464866233018277,0.5933333333333334
3.020867375693616e-05,0,0.22992496548150199,0.62
4.778084200486703e-05,500,0.023331826076328544,0.6166666666666667
3.489493138301623e-05,0,0.15652951084048852,0.6333333333333333
3.6804981691551544e-05,500,0.28668365999697243,0.6366666666666667
3.77534913944384e-05,250,0.13038803596747686,0.5733333333333334
1.5030313092175233e-05,250,0.002558262037570047,0.6066666666666667
2.940921361749254e-05,0,0.2261997957133266,0.62
4.991080581773383e-05,500,0.089647179011037,0.61
4.245702224635618e-05,500,0.2895374495670271,0.6433333333333333
4.311400631219905e-05,500,0.08989154804398278,0.6433333333333333
