learning_rate,warmup_steps,weight_decay,Accuracy
2.687817163591169e-05,250,0.17788232933898962,0.6433333333333333
4.431868312689315e-05,500,0.10329173435899676,0.5833333333333334
1.8541606363016314e-05,250,0.006949337566989455,0.6333333333333333
4.825100497849602e-05,0,0.13601625956007932,0.6133333333333333
4.839366170996217e-05,0,0.2640497330647204,0.5866666666666667
4.172769657184092e-05,500,0.2536378238214489,0.6266666666666667
4.9400310121213e-05,0,0.24755951702194162,0.6066666666666667
1.5619095629430014e-05,500,0.045684178101072545,0.62
1.0665968136353238e-05,250,0.08428351401728709,0.6133333333333333
3.8415782809490444e-05,0,0.028684175600946913,0.5966666666666667
2.886682373060483e-05,250,0.20597795021365925,0.6333333333333333
2.4092523253949778e-05,250,0.18095261142420327,0.6366666666666667
2.7865888661466468e-05,250,0.18461516111837328,0.6466666666666666
3.4575716580918105e-05,250,0.1885582660194656,0.63
2.8202574500446373e-05,250,0.1428794555903029,0.6266666666666667
2.2918560340304806e-05,250,0.2935591857354412,0.6233333333333333
3.300392847455784e-05,250,0.21970634938530015,0.5833333333333334
2.4587115000829775e-05,250,0.1656016494717944,0.6233333333333333
3.4629013618898825e-05,250,0.11256032642128233,0.6566666666666666
3.418033894639949e-05,500,0.1097579116376796,0.62
