learning_rate,warmup_steps,weight_decay,Accuracy
1.9880945549790964e-05,250,0.1838079565983649,0.6466666666666666
2.4015912737722167e-05,250,0.17296238315885135,0.6333333333333333
1.5679004295548756e-05,250,0.013384054605547068,0.6333333333333333
4.399305674831748e-05,0,0.21217662469223594,0.6333333333333333
2.173524343944671e-05,0,0.10618217604133985,0.6066666666666667
4.636788856361814e-05,250,0.11194555741094489,0.6366666666666667
2.152823325611254e-05,0,0.19104961160803627,0.6133333333333333
4.022839122705733e-05,500,0.05058433279281892,0.64
1.9967512677690693e-05,500,0.1474082029552776,0.6233333333333333
3.6354027334475644e-05,0,0.21363477313672083,0.6233333333333333
1.0347203160409419e-05,250,0.29493682268927607,0.6333333333333333
3.339871319473052e-05,500,0.0077618142601688644,0.6266666666666667
3.939552478727837e-05,500,0.05918955898521581,0.6366666666666667
2.8359072366502795e-05,500,0.2551536464299097,0.6033333333333334
4.944531836373946e-05,250,0.09140931339164415,0.6233333333333333
3.0472356128103555e-05,500,0.05563232981958579,0.64
4.0551983452086394e-05,500,0.1614481193338581,0.63
