learning_rate,warmup_steps,weight_decay,Accuracy
3.008406351304216e-05,250,0.04908790645675719,0.63
3.453565732708157e-05,0,0.026250700597559806,0.62
3.0013924059960507e-05,0,0.23393346391872452,0.6033333333333334
3.962563052790793e-05,0,0.061042482413270614,0.6533333333333333
3.5410099297895246e-05,250,0.2789150087299066,0.61
2.242593394230846e-05,250,0.07374622434422011,0.6233333333333333
3.943135457698472e-05,0,0.03193222367171654,0.64
1.2861503100524573e-05,250,0.06460319065038321,0.6133333333333333
2.8921442035408863e-05,0,0.2730143802393804,0.6166666666666667
2.4144110156351114e-05,250,0.14819431879811557,0.6233333333333333
4.855610238833459e-05,500,0.13859574506263067,0.6033333333333334
4.38016616919068e-05,0,0.010454874175378229,0.6366666666666667
4.180481491948345e-05,0,0.09683813811778474,0.6233333333333333
4.0715583257583214e-05,500,0.002465936085066872,0.5866666666666667
4.934853389222536e-05,0,0.11086196822020628,0.59
3.856547000675528e-05,0,0.18476076410019043,0.63
4.5480996690258536e-05,500,0.19016561669554727,0.5733333333333334
3.635862948680277e-05,0,0.043593438580894914,0.64
1.6335032192472265e-05,0,0.09565150383325183,0.5966666666666667
