learning_rate,warmup_steps,weight_decay,Accuracy
3.8165832136385776e-05,250,0.09494619953054063,0.6233333333333333
1.8250705334821307e-05,250,0.14510470657416566,0.64
4.700676591961281e-05,500,0.06465546891496163,0.6033333333333334
1.157999698295567e-05,0,0.06632782568470227,0.64
4.249921380035707e-05,0,0.011177510754483455,0.6066666666666667
1.3395308551525443e-05,250,0.09834196657570057,0.63
4.554050179965182e-05,250,0.22883343311747234,0.61
1.3381131162333491e-05,500,0.20607104226981357,0.61
1.5240060351578186e-05,500,0.28273092170189135,0.6033333333333334
4.402898957005869e-05,500,0.27762559706999396,0.62
2.4413479618986187e-05,250,0.16791490449765498,0.6266666666666667
2.301021014827726e-05,0,0.0006776120768068328,0.62
2.0243293639525736e-05,0,0.1298405788971674,0.6066666666666667
3.0956790764065204e-05,0,0.06303759810004793,0.6366666666666667
