in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,sMAPE,MAPE
1,1,14,2,2,0.0032479224989496844,10,True,1.8656447346918175,1.8896730146507161
1,1,26,1,3,0.045793142069549396,9,False,1.3263191716285587,1.3491637647659085
31,7,11,3,8,0.18540628605364354,9,True,1.5817070604536754,1.6321477424894748
7,1,13,2,5,0.12210244624575077,7,True,1.1351440133349882,1.1267612184583413
1,7,27,3,3,0.1919433917835169,10,False,0.2875661632299467,0.28816978638732477
7,31,30,1,7,0.23693606481878915,7,True,0.2347271540219694,0.2351138567545564
7,1,11,3,4,0.07779288677127717,9,False,1.13217488106896,1.141503189459606
1,1,15,1,6,0.27402298962136656,7,False,0.5596291371079978,0.5614962581120131
7,1,16,2,3,0.22086850474686087,7,False,1.2677386532435628,1.2582829978260588
31,7,24,3,7,0.06082661027077728,8,False,0.7551085013916816,0.754660675411594
7,31,32,1,8,0.28044393727632755,6,True,1.1637202752125901,1.1937281980977337
1,31,32,1,6,0.21710877635983533,10,True,2.4387999208093425,2.4555133635291684
7,31,27,3,5,0.1524011378398335,6,False,2.5547392349426046,2.56829934126206
1,7,22,1,2,0.23340812026598043,8,True,0.4454466486693151,0.44525238685797897
31,31,28,3,4,0.1648239033918858,7,True,2.7151408003044266,2.7410417450881566
7,7,29,3,7,0.1132485669503463,10,False,2.0995598221462566,2.149066476183263
1,31,18,1,6,0.2482117150184875,8,True,1.621250127699251,1.6408978270976216
7,7,21,1,4,0.20039642623701587,9,False,2.096004918364343,2.157880408955444
1,7,30,3,3,0.2575241701644946,8,True,0.9628083405984762,0.9686375015608811
31,31,24,2,7,0.2963824489063882,6,False,0.6183723277101301,0.6213608525090706
7,31,25,3,5,0.183295920536016,7,True,2.3375794568440664,2.4428437137217136
1,7,21,1,2,0.2342652956863278,8,True,1.816343006417136,1.851739136049839
1,7,22,1,2,0.20726559138665324,8,True,0.4460307041039483,0.44654914474020385
1,7,18,1,3,0.24564928985567464,8,True,0.4845415536033251,0.48609857184872785
1,7,23,1,2,0.18740150724641025,9,True,0.9513053471537704,0.9607611350132746
1,7,30,1,4,0.13229205081262388,7,True,1.0408345132908279,1.0505768442807213
1,7,26,1,3,0.2671680235212466,10,False,0.82200223804,0.8278773989602729
1,31,28,1,2,0.22987000906866753,8,True,1.7258897559838116,1.7242091543293585
31,7,8,2,5,0.29946562352177475,9,False,0.2929441177859487,0.2924320444520776
31,31,8,2,5,0.2926793544804337,10,False,0.7372721190145427,0.7368620177533037
31,7,19,2,6,0.297960595625018,10,False,0.6848271852173542,0.683705662783534
31,7,8,2,2,0.16549802425574245,9,False,0.7897207861167177,0.7956744940661872
31,7,30,2,4,0.24567885178012297,9,False,0.7240771787718796,0.738669490741339
1,7,27,2,8,0.19975663284315356,9,False,0.6098505998766901,0.6117835120167179
31,7,25,3,3,0.027047149942775794,10,True,2.817841905557219,2.895040704616591
7,1,13,2,7,0.2701738323675648,9,False,0.5469054353362404,0.5460010572291873
1,7,17,3,5,0.09769236829072658,9,True,1.2921517301504613,1.3215910451655222
7,1,11,1,3,0.2315633128572709,7,False,0.6558673159388605,0.6591322890127447
31,7,20,2,2,0.1869853703137429,8,True,0.6300164952359,0.6311661422661916
7,1,10,1,4,0.25994297354838863,10,False,0.748864848305516,0.7530638867772128
1,7,32,3,6,0.2136150382899532,7,True,1.133141412592489,1.1431737750559596
1,7,22,1,2,0.20350277656401275,8,True,0.4454865206360418,0.4448675356994677
