Category: All categories

Day,bitcoin: (Worldwide)
2022-01-07,61
2022-01-08,56
2022-01-09,52
2022-01-10,51
2022-01-11,50
2022-01-12,45
2022-01-13,35
2022-01-14,32
2022-01-15,36
2022-01-16,52
2022-01-17,33
2022-01-18,36
2022-01-19,35
2022-01-20,36
2022-01-21,73
2022-01-22,96
2022-01-23,66
2022-01-24,77
2022-01-25,56
2022-01-26,56
2022-01-27,49
2022-01-28,55
2022-01-29,48
2022-01-30,46
2022-01-31,47
2022-02-01,47
2022-02-02,45
2022-02-03,45
2022-02-04,49
2022-02-05,48
2022-02-06,40
2022-02-07,51
2022-02-08,48
2022-02-09,45
2022-02-10,39
2022-02-11,41
2022-02-12,36
2022-02-13,35
2022-02-14,39
2022-02-15,40
2022-02-16,35
2022-02-17,38
2022-02-18,39
2022-02-19,35
2022-02-20,40
2022-02-21,42
2022-02-22,45
2022-02-23,39
2022-02-24,78
2022-02-25,54
2022-02-26,40
2022-02-27,41
2022-02-28,50
2022-03-01,54
2022-03-02,49
2022-03-03,42
2022-03-04,42
2022-03-05,38
2022-03-06,35
2022-03-07,42
2022-03-08,38
2022-03-09,42
2022-03-10,39
2022-03-11,39
2022-03-12,33
2022-03-13,33
2022-03-14,36
2022-03-15,34
2022-03-16,34
2022-03-17,35
2022-03-18,34
2022-03-19,31
2022-03-20,31
2022-03-21,30
2022-03-22,34
2022-03-23,32
2022-03-24,34
2022-03-25,37
2022-03-26,30
2022-03-27,33
2022-03-28,42
2022-03-29,36
2022-03-30,37
2022-03-31,35
2022-04-01,32
2022-04-02,30
2022-04-03,29
2022-04-04,31
2022-04-05,30
2022-04-06,35
2022-04-07,33
2022-04-08,31
2022-04-09,28
2022-04-10,27
2022-04-11,35
2022-04-12,34
2022-04-13,31
2022-04-14,30
2022-04-15,28
2022-04-16,27
2022-04-17,25
2022-04-18,30
2022-04-19,28
2022-04-20,27
2022-04-21,29
2022-04-22,27
2022-04-23,24
2022-04-24,24
2022-04-25,31
2022-04-26,32
2022-04-27,28
2022-04-28,27
2022-04-29,28
2022-04-30,26
2022-05-01,28
2022-05-02,28
2022-05-03,28
2022-05-04,27
2022-05-05,33
2022-05-06,35
2022-05-07,28
2022-05-08,35
2022-05-09,60
2022-05-10,60
2022-05-11,70
2022-05-12,96
2022-05-13,80
2022-05-14,56
2022-05-15,50
2022-05-16,49
2022-05-17,45
2022-05-18,45
2022-05-19,43
2022-05-20,37
2022-05-21,35
2022-05-22,35
2022-05-23,39
2022-05-24,38
2022-05-25,33
2022-05-26,35
2022-05-27,37
2022-05-28,31
2022-05-29,29
2022-05-30,37
2022-05-31,36
2022-06-01,33
2022-06-02,32
2022-06-03,30
2022-06-04,27
2022-06-05,26
2022-06-06,31
2022-06-07,34
2022-06-08,31
2022-06-09,31
2022-06-10,29
2022-06-11,30
2022-06-12,37
2022-06-13,99
2022-06-14,97
2022-06-15,90
2022-06-16,75
2022-06-17,67
2022-06-18,100
2022-06-19,92
2022-06-20,75
2022-06-21,61
2022-06-22,60
2022-06-23,51
2022-06-24,45
2022-06-25,40
2022-06-26,39
2022-06-27,46
2022-06-28,42
2022-06-29,44
2022-06-30,49
2022-07-01,48
2022-07-02,42
2022-07-03,39
2022-07-04,42
2022-07-05,44
2022-07-06,39
2022-07-07,39
2022-07-08,40
2022-07-09,32
2022-07-10,33
2022-07-11,39
2022-07-12,39
2022-07-13,38
2022-07-14,36
2022-07-15,34
2022-07-16,30
2022-07-17,32
2022-07-18,40
2022-07-19,37
2022-07-20,42
2022-07-21,44
2022-07-22,38
2022-07-23,29
2022-07-24,28
2022-07-25,32
2022-07-26,35
2022-07-27,33
2022-07-28,34
2022-07-29,33
2022-07-30,28
2022-07-31,29
2022-08-01,30
2022-08-02,30
2022-08-03,29
2022-08-04,28
2022-08-05,29
2022-08-06,23
2022-08-07,23
2022-08-08,30
2022-08-09,28
2022-08-10,28
2022-08-11,30
2022-08-12,27
2022-08-13,25
2022-08-14,26
2022-08-15,28
2022-08-16,25
2022-08-17,26
2022-08-18,24
2022-08-19,34
2022-08-20,27
2022-08-21,25
2022-08-22,28
2022-08-23,26
2022-08-24,25
2022-08-25,24
2022-08-26,26
2022-08-27,26
2022-08-28,25
2022-08-29,30
2022-08-30,29
2022-08-31,26
2022-09-01,27
2022-09-02,26
2022-09-03,22
2022-09-04,22
2022-09-05,24
2022-09-06,28
2022-09-07,30
2022-09-08,26
2022-09-09,28
2022-09-10,25
2022-09-11,22
2022-09-12,27
2022-09-13,28
2022-09-14,27
2022-09-15,27
2022-09-16,26
2022-09-17,22
2022-09-18,22
2022-09-19,31
2022-09-20,29
2022-09-21,30
2022-09-22,29
2022-09-23,27
2022-09-24,24
2022-09-25,24
2022-09-26,27
2022-09-27,28
2022-09-28,25
2022-09-29,25
2022-09-30,24
2022-10-01,20
2022-10-02,20
2022-10-03,24
