Category: All categories

Day,bitcoin: (Worldwide)
2019-01-27,15
2019-01-28,21
2019-01-29,20
2019-01-30,19
2019-01-31,18
2019-02-01,18
2019-02-02,15
2019-02-03,15
2019-02-04,19
2019-02-05,22
2019-02-06,22
2019-02-07,21
2019-02-08,22
2019-02-09,18
2019-02-10,16
2019-02-11,20
2019-02-12,19
2019-02-13,19
2019-02-14,18
2019-02-15,17
2019-02-16,14
2019-02-17,15
2019-02-18,23
2019-02-19,24
2019-02-20,23
2019-02-21,21
2019-02-22,20
2019-02-23,20
2019-02-24,25
2019-02-25,22
2019-02-26,20
2019-02-27,18
2019-02-28,17
2019-03-01,17
2019-03-02,15
2019-03-03,16
2019-03-04,17
2019-03-05,19
2019-03-06,19
2019-03-07,18
2019-03-08,16
2019-03-09,16
2019-03-10,16
2019-03-11,18
2019-03-12,18
2019-03-13,17
2019-03-14,16
2019-03-15,16
2019-03-16,15
2019-03-17,14
2019-03-18,17
2019-03-19,19
2019-03-20,18
2019-03-21,19
2019-03-22,16
2019-03-23,14
2019-03-24,14
2019-03-25,16
2019-03-26,16
2019-03-27,19
2019-03-28,17
2019-03-29,17
2019-03-30,15
2019-03-31,15
2019-04-01,19
2019-04-02,44
2019-04-03,46
2019-04-04,34
2019-04-05,27
2019-04-06,24
2019-04-07,24
2019-04-08,28
2019-04-09,26
2019-04-10,25
2019-04-11,26
2019-04-12,24
2019-04-13,19
2019-04-14,15
2019-04-15,22
2019-04-16,23
2019-04-17,23
2019-04-18,23
2019-04-19,21
2019-04-20,20
2019-04-21,20
2019-04-22,22
2019-04-23,29
2019-04-24,26
2019-04-25,24
2019-04-26,25
2019-04-27,19
2019-04-28,18
2019-04-29,21
2019-04-30,20
2019-05-01,19
2019-05-02,22
2019-05-03,27
2019-05-04,24
2019-05-05,23
2019-05-06,23
2019-05-07,28
2019-05-08,28
2019-05-09,31
2019-05-10,34
2019-05-11,42
2019-05-12,45
2019-05-13,52
2019-05-14,63
2019-05-15,49
2019-05-16,44
2019-05-17,48
2019-05-18,34
2019-05-19,38
2019-05-20,39
2019-05-21,35
2019-05-22,34
2019-05-23,32
2019-05-24,32
2019-05-25,29
2019-05-26,31
2019-05-27,44
2019-05-28,38
2019-05-29,36
2019-05-30,39
2019-05-31,36
2019-06-01,30
2019-06-02,31
2019-06-03,31
2019-06-04,38
2019-06-05,31
2019-06-06,30
2019-06-07,31
2019-06-08,25
2019-06-09,24
2019-06-10,28
2019-06-11,28
2019-06-12,27
2019-06-13,28
2019-06-14,30
2019-06-15,29
2019-06-16,37
2019-06-17,41
2019-06-18,38
2019-06-19,36
2019-06-20,35
2019-06-21,45
2019-06-22,71
2019-06-23,51
2019-06-24,51
2019-06-25,57
2019-06-26,100
2019-06-27,83
2019-06-28,64
2019-06-29,47
2019-06-30,43
2019-07-01,49
2019-07-02,49
2019-07-03,44
2019-07-04,42
2019-07-05,40
2019-07-06,33
2019-07-07,32
2019-07-08,38
2019-07-09,48
2019-07-10,49
2019-07-11,46
2019-07-12,43
2019-07-13,34
2019-07-14,37
2019-07-15,45
2019-07-16,46
2019-07-17,47
2019-07-18,42
2019-07-19,38
2019-07-20,32
2019-07-21,31
2019-07-22,32
2019-07-23,34
2019-07-24,36
2019-07-25,33
2019-07-26,31
2019-07-27,32
2019-07-28,30
2019-07-29,32
2019-07-30,32
2019-07-31,32
2019-08-01,32
2019-08-02,33
2019-08-03,30
2019-08-04,30
2019-08-05,45
2019-08-06,45
2019-08-07,40
2019-08-08,38
2019-08-09,35
2019-08-10,31
2019-08-11,28
2019-08-12,31
2019-08-13,35
2019-08-14,35
2019-08-15,39
2019-08-16,33
2019-08-17,28
2019-08-18,27
2019-08-19,31
2019-08-20,32
2019-08-21,32
2019-08-22,31
2019-08-23,29
2019-08-24,27
2019-08-25,25
2019-08-26,29
2019-08-27,29
2019-08-28,30
2019-08-29,34
2019-08-30,28
2019-08-31,24
2019-09-01,24
2019-09-02,29
2019-09-03,32
2019-09-04,30
2019-09-05,27
2019-09-06,29
2019-09-07,24
2019-09-08,23
2019-09-09,26
2019-09-10,26
2019-09-11,25
2019-09-12,25
2019-09-13,23
2019-09-14,22
2019-09-15,21
2019-09-16,24
2019-09-17,24
2019-09-18,23
2019-09-19,27
2019-09-20,24
2019-09-21,21
2019-09-22,21
2019-09-23,26
2019-09-24,33
2019-09-25,40
2019-09-26,36
2019-09-27,33
2019-09-28,26
2019-09-29,25
2019-09-30,30
2019-10-01,27
2019-10-02,26
2019-10-03,25
2019-10-04,25
2019-10-05,22
2019-10-06,22
2019-10-07,25
2019-10-08,25
2019-10-09,26
2019-10-10,26
2019-10-11,23
2019-10-12,20
2019-10-13,19
2019-10-14,22
2019-10-15,24
2019-10-16,23
2019-10-17,23
2019-10-18,23
2019-10-19,20
2019-10-20,20
2019-10-21,24
2019-10-22,22
2019-10-23,29
