Category: All categories

Day,bitcoin: (Worldwide)
2018-05-03,64
2018-05-04,61
2018-05-05,62
2018-05-06,57
2018-05-07,63
2018-05-08,60
2018-05-09,60
2018-05-10,58
2018-05-11,69
2018-05-12,54
2018-05-13,52
2018-05-14,58
2018-05-15,58
2018-05-16,58
2018-05-17,53
2018-05-18,55
2018-05-19,46
2018-05-20,49
2018-05-21,53
2018-05-22,57
2018-05-23,65
2018-05-24,65
2018-05-25,57
2018-05-26,43
2018-05-27,48
2018-05-28,52
2018-05-29,55
2018-05-30,51
2018-05-31,51
2018-06-01,46
2018-06-02,43
2018-06-03,45
2018-06-04,48
2018-06-05,47
2018-06-06,47
2018-06-07,46
2018-06-08,45
2018-06-09,38
2018-06-10,57
2018-06-11,77
2018-06-12,57
2018-06-13,69
2018-06-14,65
2018-06-15,52
2018-06-16,45
2018-06-17,44
2018-06-18,53
2018-06-19,50
2018-06-20,50
2018-06-21,48
2018-06-22,55
2018-06-23,52
2018-06-24,58
2018-06-25,54
2018-06-26,49
2018-06-27,46
2018-06-28,47
2018-06-29,58
2018-06-30,51
2018-07-01,45
2018-07-02,50
2018-07-03,49
2018-07-04,47
2018-07-05,49
2018-07-06,45
2018-07-07,34
2018-07-08,42
2018-07-09,45
2018-07-10,46
2018-07-11,44
2018-07-12,49
2018-07-13,46
2018-07-14,37
2018-07-15,37
2018-07-16,47
2018-07-17,61
2018-07-18,67
2018-07-19,55
2018-07-20,54
2018-07-21,46
2018-07-22,43
2018-07-23,54
2018-07-24,74
2018-07-25,68
2018-07-26,59
2018-07-27,57
2018-07-28,48
2018-07-29,49
2018-07-30,53
2018-07-31,54
2018-08-01,52
2018-08-02,52
2018-08-03,51
2018-08-04,50
2018-08-05,49
2018-08-06,52
2018-08-07,52
2018-08-08,65
2018-08-09,56
2018-08-10,54
2018-08-11,53
2018-08-12,46
2018-08-13,52
2018-08-14,64
2018-08-15,59
2018-08-16,50
2018-08-17,49
2018-08-18,42
2018-08-19,38
2018-08-20,48
2018-08-21,50
2018-08-22,55
2018-08-23,49
2018-08-24,45
2018-08-25,40
2018-08-26,36
2018-08-27,45
2018-08-28,54
2018-08-29,52
2018-08-30,47
2018-08-31,48
2018-09-01,45
2018-09-02,44
2018-09-03,46
2018-09-04,49
2018-09-05,63
2018-09-06,66
2018-09-07,52
2018-09-08,45
2018-09-09,44
2018-09-10,47
2018-09-11,49
2018-09-12,54
2018-09-13,52
2018-09-14,46
2018-09-15,39
2018-09-16,36
2018-09-17,45
2018-09-18,43
2018-09-19,44
2018-09-20,44
2018-09-21,50
2018-09-22,41
2018-09-23,38
2018-09-24,43
2018-09-25,44
2018-09-26,46
2018-09-27,43
2018-09-28,42
2018-09-29,34
2018-09-30,36
2018-10-01,38
2018-10-02,39
2018-10-03,40
2018-10-04,38
2018-10-05,38
2018-10-06,31
2018-10-07,28
2018-10-08,35
2018-10-09,39
2018-10-10,41
2018-10-11,53
2018-10-12,43
2018-10-13,35
2018-10-14,34
2018-10-15,47
2018-10-16,42
2018-10-17,42
2018-10-18,37
2018-10-19,34
2018-10-20,33
2018-10-21,30
2018-10-22,36
2018-10-23,39
2018-10-24,38
2018-10-25,38
2018-10-26,35
2018-10-27,30
2018-10-28,28
2018-10-29,37
2018-10-30,38
2018-10-31,41
2018-11-01,36
2018-11-02,36
2018-11-03,30
2018-11-04,35
2018-11-05,41
2018-11-06,41
2018-11-07,41
2018-11-08,41
2018-11-09,37
2018-11-10,33
2018-11-11,28
2018-11-12,34
2018-11-13,39
2018-11-14,61
2018-11-15,71
2018-11-16,53
2018-11-17,43
2018-11-18,40
2018-11-19,71
2018-11-20,100
2018-11-21,78
2018-11-22,58
2018-11-23,60
2018-11-24,54
2018-11-25,82
2018-11-26,82
2018-11-27,76
2018-11-28,68
2018-11-29,60
2018-11-30,55
2018-12-01,47
2018-12-02,42
2018-12-03,54
2018-12-04,55
2018-12-05,51
2018-12-06,58
2018-12-07,74
2018-12-08,56
2018-12-09,49
2018-12-10,54
2018-12-11,54
2018-12-12,49
2018-12-13,53
2018-12-14,54
2018-12-15,48
2018-12-16,45
2018-12-17,54
2018-12-18,57
2018-12-19,67
2018-12-20,65
2018-12-21,52
2018-12-22,44
2018-12-23,46
2018-12-24,54
2018-12-25,50
2018-12-26,46
2018-12-27,49
2018-12-28,48
2018-12-29,44
2018-12-30,39
2018-12-31,40
2019-01-01,38
2019-01-02,47
2019-01-03,46
2019-01-04,45
2019-01-05,37
2019-01-06,38
2019-01-07,44
2019-01-08,48
2019-01-09,43
2019-01-10,50
2019-01-11,46
2019-01-12,39
2019-01-13,33
2019-01-14,44
2019-01-15,41
2019-01-16,40
2019-01-17,38
2019-01-18,35
2019-01-19,32
2019-01-20,29
2019-01-21,34
2019-01-22,35
2019-01-23,34
2019-01-24,35
2019-01-25,32
2019-01-26,29
2019-01-27,29
