Category: All categories

Day,bitcoin: (Worldwide)
2017-12-03,31
2017-12-04,35
2017-12-05,37
2017-12-06,48
2017-12-07,99
2017-12-08,88
2017-12-09,56
2017-12-10,56
2017-12-11,65
2017-12-12,63
2017-12-13,54
2017-12-14,48
2017-12-15,44
2017-12-16,44
2017-12-17,48
2017-12-18,48
2017-12-19,53
2017-12-20,69
2017-12-21,52
2017-12-22,100
2017-12-23,64
2017-12-24,47
2017-12-25,42
2017-12-26,41
2017-12-27,42
2017-12-28,39
2017-12-29,35
2017-12-30,36
2017-12-31,28
2018-01-01,26
2018-01-02,33
2018-01-03,32
2018-01-04,31
2018-01-05,30
2018-01-06,27
2018-01-07,27
2018-01-08,27
2018-01-09,29
2018-01-10,29
2018-01-11,34
2018-01-12,28
2018-01-13,24
2018-01-14,22
2018-01-15,23
2018-01-16,44
2018-01-17,59
2018-01-18,43
2018-01-19,31
2018-01-20,25
2018-01-21,24
2018-01-22,27
2018-01-23,26
2018-01-24,24
2018-01-25,23
2018-01-26,24
2018-01-27,20
2018-01-28,18
2018-01-29,19
2018-01-30,22
2018-01-31,23
2018-02-01,29
2018-02-02,38
2018-02-03,26
2018-02-04,22
2018-02-05,39
2018-02-06,50
2018-02-07,30
2018-02-08,26
2018-02-09,22
2018-02-10,18
2018-02-11,17
2018-02-12,18
2018-02-13,17
2018-02-14,18
2018-02-15,18
2018-02-16,17
2018-02-17,15
2018-02-18,16
2018-02-19,15
2018-02-20,17
2018-02-21,17
2018-02-22,16
2018-02-23,13
2018-02-24,12
2018-02-25,11
2018-02-26,13
2018-02-27,13
2018-02-28,12
2018-03-01,12
2018-03-02,12
2018-03-03,12
2018-03-04,10
2018-03-05,11
2018-03-06,12
2018-03-07,13
2018-03-08,13
2018-03-09,15
2018-03-10,11
2018-03-11,11
2018-03-12,12
2018-03-13,11
2018-03-14,13
2018-03-15,15
2018-03-16,12
2018-03-17,10
2018-03-18,13
2018-03-19,12
2018-03-20,12
2018-03-21,11
2018-03-22,11
2018-03-23,10
2018-03-24,9
2018-03-25,8
2018-03-26,12
2018-03-27,11
2018-03-28,10
2018-03-29,12
2018-03-30,14
2018-03-31,10
2018-04-01,11
2018-04-02,12
2018-04-03,11
2018-04-04,10
2018-04-05,11
2018-04-06,12
2018-04-07,9
2018-04-08,8
2018-04-09,10
2018-04-10,10
2018-04-11,9
2018-04-12,11
2018-04-13,11
2018-04-14,9
2018-04-15,8
2018-04-16,9
2018-04-17,9
2018-04-18,9
2018-04-19,9
2018-04-20,9
2018-04-21,8
2018-04-22,8
2018-04-23,9
2018-04-24,11
2018-04-25,10
2018-04-26,8
2018-04-27,8
2018-04-28,7
2018-04-29,7
2018-04-30,8
2018-05-01,7
2018-05-02,7
2018-05-03,8
