Category: All categories

Day,bitcoin: (Worldwide)
2020-07-18,15
2020-07-19,10
2020-07-20,9
2020-07-21,10
2020-07-22,10
2020-07-23,11
2020-07-24,11
2020-07-25,11
2020-07-26,14
2020-07-27,20
2020-07-28,21
2020-07-29,17
2020-07-30,15
2020-07-31,16
2020-08-01,18
2020-08-02,19
2020-08-03,16
2020-08-04,14
2020-08-05,15
2020-08-06,16
2020-08-07,15
2020-08-08,13
2020-08-09,14
2020-08-10,15
2020-08-11,15
2020-08-12,14
2020-08-13,13
2020-08-14,14
2020-08-15,13
2020-08-16,13
2020-08-17,16
2020-08-18,15
2020-08-19,13
2020-08-20,13
2020-08-21,12
2020-08-22,12
2020-08-23,11
2020-08-24,12
2020-08-25,12
2020-08-26,12
2020-08-27,12
2020-08-28,11
2020-08-29,10
2020-08-30,11
2020-08-31,11
2020-09-01,12
2020-09-02,12
2020-09-03,14
2020-09-04,15
2020-09-05,13
2020-09-06,12
2020-09-07,12
2020-09-08,12
2020-09-09,11
2020-09-10,11
2020-09-11,10
2020-09-12,10
2020-09-13,10
2020-09-14,11
2020-09-15,11
2020-09-16,11
2020-09-17,10
2020-09-18,10
2020-09-19,9
2020-09-20,10
2020-09-21,10
2020-09-22,10
2020-09-23,10
2020-09-24,9
2020-09-25,10
2020-09-26,9
2020-09-27,8
2020-09-28,9
2020-09-29,9
2020-09-30,9
2020-10-01,9
2020-10-02,9
2020-10-03,8
2020-10-04,8
2020-10-05,9
2020-10-06,9
2020-10-07,9
2020-10-08,9
2020-10-09,9
2020-10-10,10
2020-10-11,9
2020-10-12,10
2020-10-13,10
2020-10-14,10
2020-10-15,10
2020-10-16,10
2020-10-17,9
2020-10-18,9
2020-10-19,10
2020-10-20,11
2020-10-21,18
2020-10-22,19
2020-10-23,15
2020-10-24,12
2020-10-25,13
2020-10-26,13
2020-10-27,15
2020-10-28,17
2020-10-29,14
2020-10-30,13
2020-10-31,14
2020-11-01,13
2020-11-02,14
2020-11-03,12
2020-11-04,12
2020-11-05,20
2020-11-06,22
2020-11-07,16
2020-11-08,15
2020-11-09,17
2020-11-10,14
2020-11-11,15
2020-11-12,17
2020-11-13,19
2020-11-14,15
2020-11-15,14
2020-11-16,18
2020-11-17,24
2020-11-18,30
2020-11-19,24
2020-11-20,24
2020-11-21,24
2020-11-22,22
2020-11-23,22
2020-11-24,30
2020-11-25,28
2020-11-26,33
2020-11-27,23
2020-11-28,20
2020-11-29,19
2020-11-30,26
2020-12-01,27
2020-12-02,21
2020-12-03,20
2020-12-04,20
2020-12-05,18
2020-12-06,17
2020-12-07,18
2020-12-08,18
2020-12-09,19
2020-12-10,16
2020-12-11,17
2020-12-12,15
2020-12-13,16
2020-12-14,16
2020-12-15,17
2020-12-16,31
2020-12-17,53
2020-12-18,33
2020-12-19,30
2020-12-20,29
2020-12-21,33
2020-12-22,27
2020-12-23,26
2020-12-24,23
2020-12-25,27
2020-12-26,38
2020-12-27,50
2020-12-28,41
2020-12-29,34
2020-12-30,38
2020-12-31,40
2021-01-01,39
2021-01-02,66
2021-01-03,76
2021-01-04,67
2021-01-05,55
2021-01-06,59
2021-01-07,84
2021-01-08,86
2021-01-09,67
2021-01-10,66
2021-01-11,100
2021-01-12,73
2021-01-13,63
2021-01-14,64
2021-01-15,59
2021-01-16,51
2021-01-17,43
2021-01-18,40
2021-01-19,41
2021-01-20,40
2021-01-21,49
2021-01-22,53
2021-01-23,38
2021-01-24,34
2021-01-25,37
2021-01-26,35
2021-01-27,38
2021-01-28,38
2021-01-29,61
2021-01-30,44
2021-01-31,39
2021-02-01,34
2021-02-02,34
2021-02-03,34
2021-02-04,39
2021-02-05,34
2021-02-06,41
2021-02-07,37
2021-02-08,82
2021-02-09,98
2021-02-10,63
2021-02-11,59
2021-02-12,58
2021-02-13,45
2021-02-14,49
2021-02-15,52
2021-02-16,60
2021-02-17,66
2021-02-18,60
2021-02-19,68
2021-02-20,73
2021-02-21,65
2021-02-22,73
2021-02-23,93
2021-02-24,71
2021-02-25,55
2021-02-26,59
2021-02-27,47
2021-02-28,51
2021-03-01,50
2021-03-02,46
2021-03-03,42
2021-03-04,41
2021-03-05,40
2021-03-06,36
2021-03-07,36
2021-03-08,38
2021-03-09,47
2021-03-10,45
2021-03-11,43
2021-03-12,43
2021-03-13,54
2021-03-14,51
2021-03-15,50
2021-03-16,44
2021-03-17,41
2021-03-18,41
2021-03-19,36
2021-03-20,35
2021-03-21,36
2021-03-22,38
2021-03-23,38
2021-03-24,43
2021-03-25,44
2021-03-26,37
2021-03-27,35
2021-03-28,33
2021-03-29,35
2021-03-30,40
2021-03-31,38
2021-04-01,41
2021-04-02,37
2021-04-03,34
2021-04-04,34
2021-04-05,35
2021-04-06,34
2021-04-07,37
2021-04-08,34
2021-04-09,31
2021-04-10,35
2021-04-11,36
2021-04-12,36
2021-04-13,48
