in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,RMSE,sMAPE,MAPE
7,7,14,2,6,0.06135707253397484,6,False,0.05303281545639038,7.875127345323563,7.888651639223099
31,7,14,1,3,0.2154069821798421,7,True,0.055290546268224716,8.856385946273804,8.585240691900253
7,7,10,2,7,0.035890312373462276,6,False,0.053756024688482285,7.999391853809357,7.976432889699936
7,1,25,2,2,0.17485886634601278,6,True,0.047790057957172394,6.772740930318832,6.973637640476227
1,31,27,1,7,0.0077171951715754965,10,True,0.10165774077177048,16.107484698295593,14.578238129615784
31,1,16,1,3,0.25070962199656954,8,True,0.05474896728992462,8.547665178775787,8.4318608045578
7,31,13,1,6,0.17304382379370237,8,False,0.05151064321398735,7.757925242185593,7.752055674791336
31,7,8,2,8,0.0036085164269619163,6,False,0.0485813170671463,7.016713172197342,7.2742559015750885
1,1,16,2,6,0.09525378639358933,8,True,0.055458955466747284,8.744045346975327,8.95993560552597
7,1,18,2,2,0.20238633734605865,9,False,0.0483955554664135,6.995543837547302,7.060392200946808
7,1,25,3,4,0.29718554512954765,7,True,0.05001513287425041,7.16259703040123,7.26226344704628
7,1,22,2,2,0.14681234720862854,10,False,0.050342392176389694,7.620779424905777,8.134257793426514
7,1,31,3,2,0.15556966551969506,9,False,0.048707589507102966,6.9840408861637115,7.374359667301178
7,1,21,2,4,0.21137181560154727,9,True,0.04921509325504303,7.089890539646149,7.523443549871445
7,1,25,2,2,0.19480834683102813,9,False,0.05007871240377426,7.520709186792374,7.9935915768146515
1,31,19,2,4,0.11381370329928085,7,True,0.08555785566568375,13.008320331573486,12.939649820327759
7,1,32,3,3,0.262558182822427,9,True,0.049943920224905014,7.162955403327942,7.308439165353775
7,1,28,2,5,0.12441152065416983,7,False,0.04940716549754143,6.934668123722076,7.104133069515228
1,1,19,2,2,0.23767837562758926,10,True,0.04753933101892471,6.777922064065933,7.095007598400116
1,31,23,3,3,0.2434649281646451,10,True,0.05568631365895271,8.56354534626007,8.590435981750488
1,1,29,2,5,0.276572135229812,6,True,0.04895578697323799,6.9972217082977295,7.433480769395828
1,1,19,2,2,0.22609816942591082,10,True,0.04785429313778877,6.937352567911148,7.253996282815933
1,1,24,2,2,0.2264575550728992,10,True,0.047996487468481064,6.6627345979213715,6.961144506931305
1,1,20,2,3,0.17387349627417945,10,True,0.049578744918107986,7.1218132972717285,7.54857212305069
1,1,18,2,2,0.23475719795575956,10,True,0.048986371606588364,7.058326154947281,7.513977587223053
1,1,21,2,4,0.1822278436676009,9,True,0.05344609543681145,7.812759280204773,7.690658420324326
1,1,26,2,3,0.26427950929294936,8,True,0.04910469055175781,7.210218906402588,7.6621778309345245
31,1,17,2,2,0.2905028101819329,10,True,0.04828345775604248,7.046625018119812,7.456456124782562
1,7,22,1,3,0.14886221169202085,8,True,0.04941367730498314,7.064409554004669,7.167390733957291
1,31,14,3,4,0.0648064619840732,6,True,0.048277080059051514,6.782194226980209,7.109824568033218
31,7,30,2,2,0.22751055663046785,9,True,0.05594153702259064,8.097963035106659,8.107540011405945
