learning_rate,warmup_steps,weight_decay,Accuracy,eval_accuracy,eval_precision,eval_recall,eval_f1
1.8522545529946103e-05,250,0.15284328905386743,0.6533333333333333,0.6566666666666666,0.6559139784946236,0.6566666666666666,0.6547221280648232
2.876297704071976e-05,500,0.038168019303150225,0.6066666666666667,0.6633333333333333,0.6838009438009438,0.6633333333333333,0.6657620452310719
4.6756726525175874e-05,0,0.05420672683004944,0.65,0.6666666666666666,0.6784147869674184,0.6666666666666666,0.6668810748999429
4.601146743207541e-05,0,0.29661687864154235,0.6333333333333333,0.6666666666666666,0.6893351054403687,0.6666666666666666,0.6711722755190092
2.7496447367449904e-05,500,0.10186892343392798,0.6233333333333333,0.6566666666666666,0.6649788549430126,0.6566666666666666,0.6547899067131205
3.059829112715303e-05,250,0.21806538679156484,0.6233333333333333,0.6466666666666666,0.6556100863664823,0.6466666666666666,0.6492636398436252
3.842527626019701e-05,0,0.13676595258789082,0.6366666666666667,0.6666666666666666,0.6779104635202197,0.6666666666666666,0.6656741236181838
3.0509929534270155e-05,0,0.2981460990129547,0.6166666666666667,0.6466666666666666,0.6976566744620037,0.6466666666666666,0.6522619567250733
1.6956850834072405e-05,250,0.008051470637665691,0.6566666666666666,0.6633333333333333,0.6631863378248251,0.6633333333333333,0.6611623016554792
2.0330366240550613e-05,250,0.2586106585280964,0.6366666666666667,0.6533333333333333,0.6884379421780943,0.6533333333333333,0.6559548450913044
1.0121657570583068e-05,250,0.0007063363243941245,0.6366666666666667,0.66,0.6755555555555556,0.66,0.6598941798941799
