date,price,volume,trend,trendSmooth
2017-12-03,11256.7018287538,5761492455.64625,28.583750215628772,-0.22269449644099118
2017-12-04,11634.9849554034,3216349724.23645,32.723822666896666,-0.2227063795774297
2017-12-05,12174.2537397926,3131952573.50185,34.793858892530615,-0.2227176816423679
2017-12-06,13876.4735794148,5086411370.06241,46.17905813351734,-0.22272840016120796
2017-12-07,18491.1815542282,16482921408.0842,98.964981887183,-0.22273853288022646
2017-12-08,16908.0049521112,24144297784.1442,87.5797826461963,-0.22274807778101713
2017-12-09,15266.4263894651,7307194000.11675,54.459203036053125,-0.2227570331245084
2017-12-10,15808.5098961544,10474626172.7887,54.459203036053125,-0.22276539754604577
2017-12-11,17106.5051488871,7710546749.544,63.77436605140591,-0.22277316996582547
2017-12-12,17249.920214656,4686094939.5687,61.70432982577195,-0.22278034953021894
2017-12-13,16525.0444892988,4407769522.20181,52.389166810419184,-0.22278693565979127
2017-12-14,16865.3616648753,4117594354.00804,46.17905813351734,-0.222792927993943
2017-12-15,17978.6305581344,6146229228.58011,42.03898568224944,-0.22279832637040614
2017-12-16,19665.3949272416,5116192713.25694,42.03898568224944,-0.2228031308722859
2017-12-17,19423.5801532525,4251128480.35423,46.17905813351734,-0.22280734190040463
2017-12-18,19188.0539569348,5411492204.5264,46.17905813351734,-0.2228109600819003
2017-12-19,18174.1867596316,6141309845.2726,51.354148697602206,-0.22281398615459294
2017-12-20,17059.8883502646,7509260354.08289,67.91443850267379,-0.22281642092419482
2017-12-21,16355.2382257401,5580926436.9909,50.31913058478524,-0.222818265232002
2017-12-22,14084.8249267767,12164204097.121,100.0,-0.22281951990992313
2017-12-23,15241.9164656487,5076754666.02441,62.73934793858892,-0.22282018576458845
2017-12-24,14451.1145466743,4129411907.77252,45.14404002070036,-0.2228202636504395
2017-12-25,14302.7537081839,2485439206.78209,39.96894945661549,-0.22281975441718188
2017-12-26,16616.6820570844,4255570625.9614,38.93393134379851,-0.2228186589223195
2017-12-27,16373.0810795739,4950722889.35151,39.96894945661549,-0.22281697813253012
2017-12-28,15067.8994980567,5266566467.59302,36.86389511816456,-0.22281471300373254
2017-12-29,15096.5594360709,3753038183.65771,32.723822666896666,-0.2228118644284744
2017-12-30,13620.3618741461,3600481281.03768,33.758840779713644,-0.22280843322569413
2017-12-31,14839.5907854184,2921202870.14992,25.47869587717785,-0.22280442015008967
2018-01-01,14093.6068305274,2345478673.51547,23.408659651543903,-0.22279982579436874
2018-01-02,15321.9328517642,4130217904.20997,30.65378644126272,-0.2227946507098549
2018-01-03,15583.8855377593,3310355625.1255918,29.618768328445743,-0.2227888955049809
2018-01-04,15976.365194174,4217387187.525639,28.583750215628772,-0.2227825610265859
2018-01-05,18336.9229801691,6275687595.940333,27.5487321028118,-0.22277564831226002
2018-01-06,18343.6624934071,4240919830.5153,24.44367776436088,-0.22276815841902228
2018-01-07,17039.8739138488,3044989246.796485,24.44367776436088,-0.22276009250537243
2018-01-08,15900.3650216006,5752981089.536744,24.44367776436088,-0.22275145183309808
2018-01-09,15604.7234082405,4214092201.8070655,26.513713989994823,-0.22274223756344913
2018-01-10,15509.2701268168,4969472882.941215,26.513713989994823,-0.22273245073346334
2018-01-11,14050.5696063543,5833888113.053883,31.68880455407969,-0.222722092407935
2018-01-12,14759.294629915,4021952802.597696,25.47869587717785,-0.22271116375101713
2018-01-13,15193.3148979847,3134247725.132476,21.338623425909955,-0.22269966597501942
2018-01-14,14476.5889713691,3336056550.553205,19.26858720027601,-0.2226876003134686
2018-01-15,14411.9977069182,3222958351.447812,20.30360531309298,-0.22267496798323205
2018-01-16,11723.9135206658,9677283153.059654,42.03898568224944,-0.22266177016115338
