date,price,sen,volume,trend
2017-12-03,11256.7018287538,0.012875536480686622,5761492455.64625,28.583750215628775
2017-12-04,11634.9849554034,-0.27263123142951473,3216349724.23645,32.723822666896666
2017-12-05,12174.2537397926,-0.06596192067286927,3131952573.50185,34.793858892530615
2017-12-06,13876.4735794148,-0.14122950566585366,5086411370.06241,46.17905813351734
2017-12-07,18491.1815542282,-0.1694602891612122,16482921408.0842,98.96498188718301
2017-12-08,16908.0049521112,-0.12572656608373822,24144297784.1442,87.5797826461963
2017-12-09,15266.4263894651,-0.1468389834595169,7307194000.11675,54.459203036053125
2017-12-10,15808.5098961544,-0.052431798268411156,10474626172.7887,54.459203036053125
2017-12-11,17106.5051488871,-0.04848625449483829,7710546749.544,63.774366051405906
2017-12-12,17249.920214656,-0.04386016084003508,4686094939.5687,61.70432982577195
2017-12-13,16525.0444892988,-0.1180078185708992,4407769522.20181,52.389166810419184
2017-12-14,16865.3616648753,-0.16591760591355562,4117594354.00804,46.17905813351734
2017-12-15,17978.6305581344,-0.00021629990551114142,6146229228.58011,42.03898568224944
2017-12-16,19665.3949272416,-0.030198985563792524,5116192713.25694,42.03898568224944
2017-12-17,19423.5801532525,-0.1090831856333036,4251128480.35423,46.17905813351734
2017-12-18,19188.0539569348,-0.07965747904022491,5411492204.5264,46.17905813351734
2017-12-19,18174.1867596316,-0.18707581737295126,6141309845.2726,51.354148697602206
2017-12-20,17059.8883502646,-0.36236250461870795,7509260354.08289,67.91443850267379
2017-12-21,16355.2382257401,-0.24327701417938832,5580926436.9909,50.319130584785235
2017-12-22,14084.8249267767,-0.22195562263873952,12164204097.121,100.0
2017-12-23,15241.9164656487,-0.2056192487209202,5076754666.02441,62.73934793858892
2017-12-24,14451.1145466743,-0.2856171971735265,4129411907.77252,45.14404002070036
2017-12-25,14302.7537081839,-0.028572783534489,2485439206.78209,39.96894945661549
2017-12-26,16616.6820570844,-0.32772007993971763,4255570625.9614,38.93393134379851
2017-12-27,16373.0810795739,-0.2817570396734011,4950722889.35151,39.96894945661549
2017-12-28,15067.8994980567,-0.32381306940707916,5266566467.59302,36.863895118164564
2017-12-29,15096.5594360709,-0.23198260966501316,3753038183.65771,32.723822666896666
2017-12-30,13620.3618741461,-0.3771590076415786,3600481281.03768,33.758840779713644
2017-12-31,14839.5907854184,-0.15406807825227084,2921202870.14992,25.47869587717785
2018-01-01,14093.6068305274,-0.19244635193133053,2345478673.51547,23.408659651543903
2018-01-02,15321.9328517642,0.15413645108776075,4130217904.20997,30.653786441262717
2018-01-03,15583.8855377593,-0.03907838265190883,3310355625.1255913,29.618768328445746
