date,price,volume,sen,trend
2017-12-03,11256.7018287538,5761492455.64625,0.2222222222222222,28.583750215628775
2017-12-04,11634.9849554034,3216349724.23645,0.06153846153846154,32.723822666896666
2017-12-05,12174.2537397926,3131952573.50185,0.17785234899328858,34.793858892530615
2017-12-06,13876.4735794148,5086411370.06241,0.1354916067146283,46.17905813351734
2017-12-07,18491.1815542282,16482921408.0842,0.11960326721120186,98.96498188718301
2017-12-08,16908.0049521112,24144297784.1442,0.14421669106881405,87.5797826461963
2017-12-09,15266.4263894651,7307194000.11675,0.132334581772784,54.459203036053125
2017-12-10,15808.5098961544,10474626172.7887,0.18546712802768167,54.459203036053125
2017-12-11,17106.5051488871,7710546749.544,0.18768768768768768,63.774366051405906
2017-12-12,17249.920214656,4686094939.5687,0.19029126213592232,61.70432982577195
2017-12-13,16525.0444892988,4407769522.20181,0.14856081708449395,52.389166810419184
2017-12-14,16865.3616648753,4117594354.00804,0.12159709618874773,46.17905813351734
2017-12-15,17978.6305581344,6146229228.58011,0.21485411140583555,42.03898568224944
2017-12-16,19665.3949272416,5116192713.25694,0.19797979797979798,42.03898568224944
2017-12-17,19423.5801532525,4251128480.35423,0.15358361774744028,46.17905813351734
2017-12-18,19188.0539569348,5411492204.5264,0.17014446227929375,46.17905813351734
2017-12-19,18174.1867596316,6141309845.2726,0.10968921389396709,51.354148697602206
2017-12-20,17059.8883502646,7509260354.08289,0.011037527593818985,67.91443850267379
2017-12-21,16355.2382257401,5580926436.9909,0.07805907172995781,50.319130584785235
2017-12-22,14084.8249267767,12164204097.121,0.09005879208979156,100.0
2017-12-23,15241.9164656487,5076754666.02441,0.09925293489861259,62.73934793858892
2017-12-24,14451.1145466743,4129411907.77252,0.05422993492407809,45.14404002070036
2017-12-25,14302.7537081839,2485439206.78209,0.19889502762430938,39.96894945661549
2017-12-26,16616.6820570844,4255570625.9614,0.030534351145038167,38.93393134379851
2017-12-27,16373.0810795739,4950722889.35151,0.056402439024390245,39.96894945661549
2017-12-28,15067.8994980567,5266566467.59302,0.03273322422258593,36.863895118164564
2017-12-29,15096.5594360709,3753038183.65771,0.08441558441558442,32.723822666896666
2017-12-30,13620.3618741461,3600481281.03768,0.0027100271002710027,33.758840779713644
2017-12-31,14839.5907854184,2921202870.14992,0.12826603325415678,25.47869587717785
2018-01-01,14093.6068305274,2345478673.51547,0.10666666666666667,23.408659651543903
2018-01-02,15321.9328517642,4130217904.20997,0.3017241379310345,30.653786441262717
2018-01-03,15583.8855377593,3310355625.1255913,0.19298245614035087,29.618768328445746
2018-01-04,15976.365194174,4217387187.5256386,0.04032258064516129,28.583750215628775
2018-01-05,18336.9229801691,6275687595.940333,0.105,27.548732102811798
2018-01-06,18343.6624934071,4240919830.5153003,0.15566037735849056,24.443677764360878
2018-01-07,17039.8739138488,3044989246.796485,0.03205128205128205,24.443677764360878
2018-01-08,15900.3650216006,5752981089.536744,0.02127659574468085,24.443677764360878
2018-01-09,15604.7234082405,4214092201.8070655,0.12053571428571429,26.513713989994823
2018-01-10,15509.2701268168,4969472882.941215,0.11750599520383694,26.513713989994823
2018-01-11,14050.5696063543,5833888113.053883,0.07878787878787878,31.688804554079695
2018-01-12,14759.294629915,4021952802.5976954,0.12315270935960591,25.47869587717785
2018-01-13,15193.3148979847,3134247725.132476,0.07586206896551724,21.338623425909955
2018-01-14,14476.5889713691,3336056550.553205,0.045454545454545456,19.268587200276006
2018-01-15,14411.9977069182,3222958351.447812,0.19727891156462585,20.30360531309298
2018-01-16,11723.9135206658,9677283153.059654,0.02158828064764842,42.03898568224944
2018-01-17,11415.3928442768,10225958520.621689,0.05938092229943146,57.564257374504045
2018-01-18,11569.4249920858,6558304864.2233305,0.08155339805825243,41.00396756943246
2018-01-19,11758.4693327652,4208563477.4581575,0.09219858156028368,28.583750215628775
2018-01-20,13260.2711872786,4520485016.427376,0.13804713804713806,22.37364153872693
2018-01-21,11703.5048628599,4319501969.014785,0.03260869565217391,21.338623425909955
2018-01-22,10991.5950130802,5012581424.290013,0.07772020725388601,24.443677764360878
2018-01-23,10894.0009053405,4779406610.509539,0.1628498727735369,23.408659651543903
2018-01-24,11277.1159704489,3582338295.944433,0.024475524475524476,21.338623425909955
2018-01-25,11225.2544568853,3204496193.302373,0.16326530612244897,20.30360531309298
2018-01-26,11044.9072365744,4616389063.310399,0.12681159420289856,21.338623425909955
2018-01-27,11456.2135062799,2894314081.3753986,0.16666666666666666,17.198550974642057
2018-01-28,11665.6969300847,2682886340.599035,0.16167664670658682,15.128514749008108
2018-01-29,11157.6638878978,2345235501.178288,-0.1388888888888889,16.163532861825082
2018-01-30,11095.2106891266,2321424679.531806,0.06609195402298851,19.268587200276006
2018-01-31,9989.68977659669,3804947187.2286944,0.036101083032490974,20.30360531309298
2018-02-01,10114.495086226,3225562144.838607,0.019933554817275746,26.513713989994823
2018-02-02,9070.55544937356,4769515274.345698,0.05756578947368421,35.82887700534759
2018-02-03,8830.16351005472,6813550017.173829,0.11057692307692307,23.408659651543903
2018-02-04,8994.91486607664,3422042094.7330213,0.04752851711026616,19.268587200276006
2018-02-05,8315.51749143615,3337096341.0061126,0.04773561811505508,36.863895118164564
2018-02-06,6852.05270051491,5313588642.981379,0.05889281507656066,48.249094359151286
2018-02-07,7711.2203289411,9152685412.95559,0.1451271186440678,27.548732102811798
2018-02-08,7611.61027778882,4862232217.401406,0.03232323232323232,23.408659651543903
2018-02-09,8208.57208449673,3190753947.378832,0.21122112211221122,19.268587200276006
2018-02-10,8650.71675042998,2960039948.907384,0.08832807570977919,15.128514749008108
2018-02-11,8574.67763849023,3371677737.5319858,-0.0033112582781456954,14.093496636191134
2018-02-12,8168.63777979963,2806997176.95887,0.18694362017804153,15.128514749008108
2018-02-13,8911.3985742083,3069219870.565569,0.155893536121673,14.093496636191134
2018-02-14,8518.26907619091,2551515988.2160945,0.22285714285714286,15.128514749008108
2018-02-15,9428.02560716167,3282094240.879327,0.22144522144522144,15.128514749008108
2018-02-16,10112.5801434467,4332356645.963475,0.164,14.093496636191134
2018-02-17,10155.2770555258,3141038601.332415,0.25098039215686274,12.023460410557185
2018-02-18,11006.647685962,3699819140.1747103,0.18360655737704917,13.05847852337416
2018-02-19,10523.429305801,4740378626.743881,0.14661654135338345,12.023460410557185
2018-02-20,11103.0900361497,3486171704.866562,0.20053475935828877,14.093496636191134
2018-02-21,11502.3770496396,4225354045.1790047,0.11433756805807622,14.093496636191134
2018-02-22,9973.59211951887,4574800113.397884,0.1206896551724138,13.05847852337416
2018-02-23,10032.863112314,4626064156.354444,0.06417112299465241,9.953424184923236
2018-02-24,10301.883609336,4009462976.493817,-0.002890173410404624,8.918406072106261
2018-02-25,9742.62819006538,3465387501.6656966,-0.06229508196721312,7.883387959289288
2018-02-26,9699.51718151529,2743650277.5619,0.1065989847715736,9.953424184923236
2018-02-27,10355.5781264856,3646748812.403751,0.03076923076923077,9.953424184923236
2018-02-28,10709.3884310463,3398119467.1062694,-0.019736842105263157,8.918406072106261
2018-03-01,10346.664931035,3182259829.3149323,0.14634146341463414,8.918406072106261
2018-03-02,10859.5521943893,2892166041.0523987,0.25609756097560976,8.918406072106261
2018-03-03,11098.0758092511,3031487197.1333075,0.23728813559322035,8.918406072106261
2018-03-04,11356.0416016724,3019436740.238814,0.05714285714285714,6.8483698464723135
2018-03-05,11286.6762891691,2580256309.470718,0.08045977011494253,7.883387959289288
2018-03-06,11526.4209302906,2693945511.0085077,0.10512129380053908,8.918406072106261
2018-03-07,10727.716249205,3618749298.786025,-0.010940919037199124,9.953424184923236
2018-03-08,9999.68248604677,4896773758.150409,0.015180265654648957,9.953424184923236
2018-03-09,9420.85488958591,4028135943.9580393,0.044657097288676235,12.023460410557185
2018-03-10,9276.33759031006,5476476288.950579,-0.0035211267605633804,7.883387959289288
2018-03-11,8890.86580399612,3260891795.801318,0.08290155440414508,7.883387959289288
2018-03-12,9512.45611286134,3876612721.9476624,-0.0431266846361186,8.918406072106261
2018-03-13,9232.70587979953,4019736166.690967,0.1056338028169014,7.883387959289288
2018-03-14,9216.53097626842,3628990704.0064235,0.011538461538461539,9.953424184923236
2018-03-15,8307.22338626638,4020163253.1929836,0.0728476821192053,12.023460410557185
2018-03-16,8359.36528334063,4571407139.639841,0.07,8.918406072106261
2018-03-17,8520.00815917187,3070872383.1616874,0.05774278215223097,6.8483698464723135
2018-03-18,8063.4097921227,2591898944.228953,0.02040816326530612,9.953424184923236
2018-03-19,8217.84219996114,4330642347.54297,0.14186046511627906,8.918406072106261
2018-03-20,8640.52143024258,4276409099.7044716,0.06682577565632458,8.918406072106261
2018-03-21,8926.82049620007,3554700592.279649,0.1421188630490956,7.883387959289288
2018-03-22,8970.31790627893,3081152046.0236883,0.009478672985781991,7.883387959289288
2018-03-23,8736.38576909829,2931676659.5938525,0.07795698924731183,6.8483698464723135
2018-03-24,8824.59283177853,2877067842.098429,0.04363636363636364,5.813351733655339
2018-03-25,8621.15079225785,2444371384.2694945,0.07731958762886598,4.778333620838365
2018-03-26,8478.63819558905,2066020545.3926063,0.02109704641350211,8.918406072106261
2018-03-27,8186.19606281355,2972024162.97679,0.03389830508474576,7.883387959289288
2018-03-28,7836.76304425289,2653185409.403986,0.09268292682926829,6.8483698464723135
2018-03-29,7930.77954092755,2033730316.7590542,0.05660377358490566,8.918406072106261
2018-03-30,7126.89519256736,3680239216.3167896,0.0683453237410072,10.98844229774021
2018-03-31,6897.26857786945,4264255594.746104,0.035269709543568464,6.8483698464723135
2018-04-01,6975.27531402076,2565052340.2323847,0.07936507936507936,7.883387959289288
2018-04-02,6836.57232729678,2649647152.1697764,0.06976744186046512,8.918406072106261
2018-04-03,7080.41723231299,2253363912.1674647,0.10126582278481013,7.883387959289288
2018-04-04,7464.35609406668,2762080502.6107836,0.026726057906458798,6.8483698464723135
2018-04-05,6845.31597826858,2544238382.121464,0.02962962962962963,7.883387959289288
