,date,volume,trend,price
0,2017-12-03,5346.636524,31.27301420305102,11165.41
1,2017-12-04,4663.424562,35.37611783271962,11579.0
2,2017-12-05,5550.732055,33.32456601788532,11699.99
3,2017-12-06,6707.946319,47.6854287217254,13550.05
4,2017-12-07,7487.065695,92.81956864807997,16599.0
5,2017-12-08,17589.013136,88.71646501841136,15880.0
6,2017-12-09,13918.758687,56.91741188847975,14656.07
7,2017-12-10,16553.037173,54.86586007364545,14899.98
8,2017-12-11,11820.401762,64.09784324039978,16587.97
9,2017-12-12,9436.802411,59.9947396107312,16349.99
10,2017-12-13,12416.328801,53.84008416622831,16033.29
11,2017-12-14,11616.867151,47.6854287217254,16334.98
12,2017-12-15,9181.273947,42.55654918463966,17539.83
13,2017-12-16,4202.628709,41.53077327722251,19102.66
14,2017-12-17,9177.183434,48.71120462914255,18860.02
15,2017-12-18,10624.633071,45.6338769068911,18856.25
16,2017-12-19,13210.74822,50.76275644397685,17295.2
17,2017-12-20,13450.496693,62.04629142556549,16488.98
18,2017-12-21,20324.2173,49.7369805365597,15492.64
19,2017-12-22,36076.271175,100.0,13326.61
20,2017-12-23,13141.538875,62.04629142556549,13300.0
21,2017-12-24,28557.534988,48.71120462914255,13500.0
22,2017-12-25,15748.207607,44.60810099947396,13699.34
23,2017-12-26,15034.668104,41.53077327722251,15689.01
24,2017-12-27,14959.864723,37.42766964755391,15459.99
25,2017-12-28,21717.858014,39.47922146238821,14182.11
26,2017-12-29,18072.008116,33.32456601788532,14378.9
27,2017-12-30,19221.158039,34.350341925302466,12440.01
28,2017-12-31,11768.989718,25.11835875854813,13716.36
29,2018-01-01,8609.915844,27.169910573382428,13380.0
30,2018-01-02,20078.092111,32.12782745923197,14675.11
31,2018-01-03,15905.667639,33.36730668069436,14919.51
32,2018-01-04,21329.649574,32.12782745923197,15059.54
33,2018-01-05,23251.491125,30.2686086270384,16960.39
34,2018-01-06,18571.457508,28.409389794844817,17069.79
35,2018-01-07,12493.125558,27.169910573382428,16150.03
36,2018-01-08,26600.609912,32.12782745923197,14902.54
37,2018-01-09,14315.004253,29.6488690163072,14400.0
38,2018-01-10,17411.001655,29.029129405576008,14907.09
39,2018-01-11,33554.723751,34.60678590215675,13238.78
40,2018-01-12,16417.162137,27.78965018411362,13740.01
41,2018-01-13,12221.508528,24.07121251972646,14210.0
42,2018-01-14,17017.894329,22.211993687532875,13474.99
43,2018-01-15,14652.094705,22.83173329826407,13539.93
44,2018-01-16,63401.169175,44.52261967385586,10900.0
45,2018-01-17,72331.796646,59.396370331404526,10988.79
46,2018-01-18,48464.434937,42.66340084166228,10961.97
47,2018-01-19,34129.375421,30.2686086270384,11474.98
48,2018-01-20,28768.857827,24.07121251972646,12799.94
49,2018-01-21,41379.773426,23.451472908995264,11530.0
50,2018-01-22,43752.606791,28.409389794844817,10760.05
51,2018-01-23,37473.922552,25.310691741188847,10799.18
52,2018-01-24,27158.587762,22.83173329826407,11349.99
53,2018-01-25,20839.954183,22.83173329826407,11175.27
54,2018-01-26,33056.87196,24.07121251972646,11089.0
55,2018-01-27,18860.768345,20.35277485533929,11491.0
56,2018-01-28,16887.339524,18.493556023145715,11879.95
57,2018-01-29,14170.377538,17.87381641241452,11251.0
58,2018-01-30,25554.372946,21.592254076801684,10237.51
59,2018-01-31,18015.956805,20.97251446607049,10285.1
60,2018-02-01,33564.764311,29.029129405576008,9224.52
61,2018-02-02,49971.626975,37.70548395581272,8873.03
62,2018-02-03,28725.000735,25.310691741188847,9199.96
63,2018-02-04,32014.308449,20.97251446607049,8184.81
64,2018-02-05,63403.182579,37.70548395581272,6939.99
65,2018-02-06,100201.500307,49.48053655970541,7652.14
66,2018-02-07,60778.460497,31.508087848500782,7599.0
67,2018-02-08,1521.537318,24.07121251972646,7784.02
68,2018-02-09,20482.910825,20.97251446607049,8683.92
69,2018-02-10,49381.512653,17.254076801683325,8533.98
70,2018-02-11,45025.187952,16.014597580220936,8063.88
71,2018-02-12,41987.85049,17.254076801683325,8903.0
72,2018-02-13,35454.972956,16.63433719095213,8539.9
73,2018-02-14,40811.952867,16.014597580220936,9449.99
74,2018-02-15,52427.596715,17.254076801683325,10000.09
75,2018-02-16,38161.205974,16.014597580220936,10159.98
76,2018-02-17,41882.108407,14.775118358758546,11039.55
77,2018-02-18,61137.380728,15.39485796948974,10383.43
78,2018-02-19,40831.417131,14.155378748027356,11153.0
79,2018-02-20,48153.354288,16.63433719095213,11200.99
80,2018-02-21,68113.818754,16.014597580220936,10437.6
81,2018-02-22,67060.166483,14.775118358758546,9811.04
82,2018-02-23,57202.70237,12.29615991583377,10131.04
